N,Q,B,Cub (µs),CUDA (µs),Futhark (µs)
1000,1,64,34,855,374.0
1000,1,64,34,601,374.0
1000,1,128,34,913,374.0
1000,1,128,141,372,374.0
1000,1,256,312,1150,374.0
1000,1,256,22,420,374.0
1000,1,256,332,596,374.0
1000,16,64,36,1078,374.0
1000,16,64,35,728,374.0
1000,16,128,23,3613,374.0
1000,16,128,36,667,374.0
1000,16,256,22,1857,374.0
1000,16,256,37,776,374.0
1000,16,256,36,645,374.0
1000,23,64,22,829,374.0
1000,23,64,35,658,374.0
1000,23,128,2506,1723,374.0
1000,23,128,905,957,374.0
1000,23,256,990,1500,374.0
1000,23,256,3983,4786,374.0
1000,23,256,2430,2869,374.0
10000,1,64,841,720,2593.0
10000,1,64,2640,411,2593.0
10000,1,128,188,816,2593.0
10000,1,128,193,671,2593.0
10000,1,256,110,801,2593.0
10000,1,256,107,616,2593.0
10000,1,256,191,371,2593.0
10000,16,64,188,1013,2593.0
10000,16,64,440,869,2593.0
10000,16,128,108,973,2593.0
10000,16,128,193,629,2593.0
10000,16,256,191,1297,2593.0
10000,16,256,2577,708,2593.0
10000,16,256,1068,3193,2593.0
10000,23,64,107,915,2593.0
10000,23,64,190,614,2593.0
10000,23,128,1278,3593,2593.0
10000,23,128,194,649,2593.0
10000,23,256,191,1278,2593.0
10000,23,256,761,1312,2593.0
10000,23,256,193,549,2593.0
1000000,1,64,216,2058,2343.0
1000000,1,64,352,1530,2343.0
1000000,1,128,194,2006,2343.0
1000000,1,128,788,1309,2343.0
1000000,1,256,194,1990,2343.0
1000000,1,256,339,1534,2343.0
1000000,1,256,344,1317,2343.0
1000000,16,64,194,3642,2343.0
1000000,16,64,3786,2292,2343.0
1000000,16,128,450,1852,2343.0
1000000,16,128,2690,2081,2343.0
1000000,16,256,196,2055,2343.0
1000000,16,256,1736,3271,2343.0
1000000,16,256,196,1469,2343.0
1000000,23,64,351,3463,2343.0
1000000,23,64,319,910,2343.0
1000000,23,128,323,1541,2343.0
1000000,23,128,879,2267,2343.0
1000000,23,256,1860,2222,2343.0
1000000,23,256,3329,2252,2343.0
1000000,23,256,1334,1389,2343.0
10000000,1,256,1154,13300,19129.0
10000000,16,64,1715,28139,19129.0
10000000,16,64,3233,11229,19129.0
10000000,16,128,3437,29691,19129.0
10000000,16,128,3129,11873,19129.0
10000000,16,256,1209,9395,19129.0
10000000,16,256,1167,7227,19129.0
10000000,16,256,1933,16455,19129.0
10000000,23,64,1169,8423,19129.0
10000000,23,64,1044,4223,19129.0
10000000,23,128,1257,8853,19129.0
10000000,23,128,1214,4201,19129.0
10000000,23,256,1245,7167,19129.0
10000000,23,256,1259,2882,19129.0
